Pin ID,Name,Type,Power Domain,Function
A1,VSS,G,0V,Digital Core Ground
A10,VSSQ_DDR,G,0V,DDR Ground
A11,DQ_B_9,AIO,lp3: 1.2V; lp4x: 0.6V,LPDDR4X: CHB DQ9; LPDDR3: DQ8
A12,DQ_B_12,AIO,lp3: 1.2V; lp4x: 0.6V,LPDDR4X: CHB DQ12; LPDDR3: DQ10
A13,DQ_B_11,AIO,lp3: 1.2V; lp4x: 0.6V,LPDDR4X: CHB DQ11; LPDDR3: DQ11
A14,DQS1_C_B,AIO,lp3: 1.2V; lp4x: 0.6V,LPDDR4X: Negative of CHB DQS1; LPDDR3: Negtive of DQS1
A15,DQS1_C_A,AIO,lp3: 1.2V; lp4x: 0.6V,LPDDR4X: Negative of CHA DQS1; LPDDR3: Negtive of DQS0
A16,DQ_A_12,AIO,lp3: 1.2V; lp4x: 0.6V,LPDDR4X: CHA DQ12; LPDDR3: DQM0
A17,DQ_A_9,AIO,lp3: 1.2V; lp4x: 0.6V,LPDDR4X: CHA DQ9; LPDDR3: DQ7
A18,DQ_A_8,AIO,lp3: 1.2V; lp4x: 0.6V,LPDDR4X: CHB DQ8; LPDDR3: DQ5
A19,DQ_A_15,AIO,lp3: 1.2V; lp4x: 0.6V,LPDDR4X: CHB DQ15; LPDDR3: DQ3
A2,VSSQ_DDR,G,0V,DDR Ground
A20,VSSQ_DDR,G,0V,DDR Ground
A21,DQ_A_5,AIO,lp3: 1.2V; lp4x: 0.6V,LPDDR4X: CHA DQ5; LPDDR3: DQ21
A22,DQ_A_7,AIO,lp3: 1.2V; lp4x: 0.6V,LPDDR4X: CHA DQ7; LPDDR3: DQ17
A23,DMI0_A,AIO,lp3: 1.2V; lp4x: 0.6V,LPDDR4X: Channel A DM0; LPDDR3: DQ22
A24,DQ_A_1,AIO,lp3: 1.2V; lp4x: 0.6V,LPDDR4X: CHA DQ1; LPDDR3: DQ16
A25,VSSQ_DDR,G,0V,DDR Ground
A26,VSS,G,0V,Digital Core Ground
A3,DQ_B_2,AIO,lp3: 1.2V; lp4x: 0.6V,LPDDR4X: CHB DQ2; LPDDR3: DQ28
A4,DMI0_B,AIO,lp3: 1.2V; lp4x: 0.6V,LPDDR4X: Channel B DM0; LPDDR3: DQ25
A5,VSSQ_DDR,G,0V,DDR Ground
A6,DQ_B_6,AIO,lp3: 1.2V; lp4x: 0.6V,LPDDR4X: CHB DQ6; LPDDR3: DQ24
A7,DQ_B_4,AIO,lp3: 1.2V; lp4x: 0.6V,LPDDR4X: CHB DQ4; LPDDR3: DQ30
A8,DQ_B_13,AIO,lp3: 1.2V; lp4x: 0.6V,LPDDR4X: CHB DQ13; LPDDR3: DQ15
A9,DQ_B_15,AIO,lp3: 1.2V; lp4x: 0.6V,LPDDR4X: CHB DQ15; LPDDR3: DQ12
AA1,PRI_TCK,I/O,1.8V,JTAG clock
AA10,AVDD18_HDMI,P,1.8V,HDMI 1.8V power
AA11,VSS,G,0V,Digital Core ground
AA12,VSS,G,0V,Digital Core ground
